message_text,actual_label,predicted_label,toxicity_score,confidence
I’ll nail your sister’s hands and feet to the floor then fuck her till the nails tear through!,High-Risk Threat,High-Risk Threat,99,99
Your mom gets her skull bashed in with a brick then I’ll fuck the brain mush!,High-Risk Threat,High-Risk Threat,99,99
I’ll make your family play Russian roulette with their own cocks and pussies!,High-Risk Threat,High-Risk Threat,99,99
Your sister gets strapped to a table and I’ll carve my name into her flesh with a hot knife!,High-Risk Threat,High-Risk Threat,99,99
I’ll feed your mom’s chopped-off limbs to starving dogs while she watches bleeding out!,High-Risk Threat,High-Risk Threat,99,99
Your family gets thrown into a shark tank alive and I’ll fuck your sister underwater!,High-Risk Threat,High-Risk Threat,99,99
I’ll rip your sister’s heart out still beating then fuck the chest cavity!,High-Risk Threat,High-Risk Threat,99,99
Your mom’s getting her spine ripped out through her mouth then used as a whip!,High-Risk Threat,High-Risk Threat,99,99
I’ll force your sister to eat her own aborted fetus then fuck her vomit-covered face!,High-Risk Threat,High-Risk Threat,99,99
Your family gets electrocuted on a giant grid while I masturbate to the twitching!,High-Risk Threat,High-Risk Threat,99,99
I’ll make your mom’s cunt into a glory hole for a prison yard then seal it with cement!,High-Risk Threat,High-Risk Threat,99,99
Your sister gets her bones slowly crushed in a hydraulic press then I’ll fuck the pulp!,High-Risk Threat,High-Risk Threat,99,99
I’ll hang your mom upside down and drain her blood into bottles then drink it!,High-Risk Threat,High-Risk Threat,99,99
Your family gets turned into living furniture and I’ll sit on your sister’s face forever!,High-Risk Threat,High-Risk Threat,99,99
I’ll force your sister to fuck a corpse of your mom while I film it for blackmail!,High-Risk Threat,High-Risk Threat,99,99
Your mom gets her eyes gouged out then I’ll use them as marbles while fucking her sockets!,High-Risk Threat,High-Risk Threat,99,99
I’ll make your entire family suffocate in a plastic bag while I jerk off outside!,High-Risk Threat,High-Risk Threat,99,99
Your sister’s last words will be my cum choking her as I strangle her with her own hair!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ki bhosdi mein patthar bhar ke hammer se thok dunga phir uske tukdon se teri behen ko pelunga madarchod!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ko 50 kutte se chudwa ke uski chut se khoon nikalne tak video banaunga randi ki nasal!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ko zinda jala ke uski raakh teri behen ki chut mein ghusa dunga harami kutte!,High-Risk Threat,High-Risk Threat,99,99
Teri puri family ko chain-saw se tukde tukde kar ke teri maa ke tukdon se teri behen ko chodoonga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ki chut mein acid daal ke andar tak jala dunga phir uske jalte hue muh mein lund ghusa dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ko pregnant kar ke abortion karwa ke uska baccha teri maa ko khila dunga saale!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ko sadak pe nanga latka ke 1000 logo ke saamne kutte se chudwaunga live stream pe!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ki chut mein current daal ke bijli se jhatka dunga phir usi current se teri maa ko marunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ki bhosdi ko bomb se udaa ke uske tukdon ko teri behen ke muh mein thoon dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri puri khandan ko zinda dafn kar ke teri maa ki laash pe teri behen ko thokunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ko blue film mein hero banake teri maa ko bhi usmein pelwa ke viral kar dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ki chut ko chainsaw se kaat ke uske khoon se teri behen ko nahla dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ko 500 logo se gangbang karwa ke uski chut faad ke khoon nikaal dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ko helicopter se latka ke neeche se 1000 lund wale pel denge saale!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ki gand mein mirchi powder daal ke jala dunga phir lund ghusa ke hasunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ko kutte ke saath shaadi karwa ke honeymoon pe kutte se chudwaunga!,High-Risk Threat,High-Risk Threat,99,99
Teri puri family ko zinda kaat ke laashon se ghar saja dunga aur teri behen ko usmein thokunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ki bhosdi mein rocket daal ke space mein bhej dunga phir wapas laake teri behen ko pelunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ko pregnant kar ke delivery ke time uski chut faad ke baccha bahar nikaal dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ko jail mein bhej ke 1000 kaidi se roz gangrape karwaunga har roz!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ki chut mein chili powder + petrol daal ke aag laga dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ko acid mein dubo ke uske bikharte hue jism ko teri behen ke muh mein thoon dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri puri khandan ko woodchipper mein daal ke uske khoon se teri behen ko nahlaunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ko kutte se pregnant karwa ke uska janwar baccha teri maa ko khila dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ki chut ko drill machine se ched kar andar tak lund ghusa dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ko zinda jala ke uski laash pe teri maa ko thokne pe majboor karunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ko nanga kar ke sadak pe kutte ke saath chudwa ke video viral kar dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ki gand mein current wala wire daal ke bijli se maar dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri puri family ko zinda kaat ke har tukde ko teri maa ki chut mein ghusa dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ko bomb se udaa ke uske tukdon se teri behen ki chut saaf karwaunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ko horse se chudwa ke pregnant karwa dunga phir video banaunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ki bhosdi ko petrol daal ke match laga ke jalaa dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ko 100 logo ke saamne nanga kar ke gangbang karwa ke laash bana dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ko zinda dafn kar ke uske upar teri behen ko thokne pe majboor karunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ki chut mein razor blades daal ke lund ghusa ke khoon nikaal dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ko kutte ke saath video bana ke usko blackmail karunga har roz!,High-Risk Threat,High-Risk Threat,99,99
Teri puri khandan ko acid tank mein daal ke uske pani se teri behen ko nahlaunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ko pregnant kar ke delivery ke waqt uski pet faad dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ki chut ko firecracker se phaad ke uske tukdon ko teri behen ko khila dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ko jail ke kaidiyon se roz 100 baar gangrape karwaunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ko zinda kaat ke uske khoon se teri behen ke muh ko dhona dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ki gand ko drill se ched kar andar tak current daal dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ko nanga kar ke sadak pe 100 kutte se chudwa ke laash bana dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ko maggots se bhara hua lund ghusa ke andar tak khila dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri puri family ko zinda jala ke uski raakh se teri maa ki chut saaf karwaunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ko horse cock se pregnant karwa ke video viral kar dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ki bhosdi mein petrol bomb daal ke andar se phaad dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ko acid se chehra jala ke uske melted muh mein lund ghusa dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ko zinda kaat ke har hisse ko teri behen ke muh mein thoon dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ki last saans meri cum ke saath hogi jab mai uska gala daba ke maar dunga!,High-Risk Threat,High-Risk Threat,99,99
Your bank account has been temporarily suspended. Verify immediately.,High-Risk Threat,High-Risk Threat,75,95
Urgent: suspicious transaction detected. Click link to secure account.,High-Risk Threat,High-Risk Threat,78,96
Your KYC is incomplete. Update now to avoid service disruption.,High-Risk Threat,High-Risk Threat,74,94
We noticed unusual login activity. Confirm your details now.,High-Risk Threat,High-Risk Threat,76,95
Your debit card will be blocked today if not verified.,High-Risk Threat,High-Risk Threat,77,95
Click here to reactivate your frozen bank account.,High-Risk Threat,High-Risk Threat,79,96
Final notice: verify your payment credentials immediately.,High-Risk Threat,High-Risk Threat,80,96
Your UPI access is restricted. Share PIN to restore.,High-Risk Threat,High-Risk Threat,85,97
Account security alert: reset password using this link.,High-Risk Threat,High-Risk Threat,72,94
We are unable to process your refund without verification.,High-Risk Threat,High-Risk Threat,70,93
Income tax refund pending. Submit bank details now.,High-Risk Threat,High-Risk Threat,78,95
Your loan approval is on hold. Pay processing fee now.,High-Risk Threat,High-Risk Threat,82,96
Congratulations! You have won a prize. Claim by paying charges.,High-Risk Threat,High-Risk Threat,80,96
Amazon order failed. Confirm payment details immediately.,High-Risk Threat,High-Risk Threat,77,95
Your Paytm wallet is blocked. Click to unblock.,High-Risk Threat,High-Risk Threat,79,96
This is SBI support. Share OTP to cancel fraudulent transfer.,High-Risk Threat,High-Risk Threat,88,97
Bank executive here. Verify account to avoid closure.,High-Risk Threat,High-Risk Threat,83,96
We detected malware on your device. Pay to secure it.,High-Risk Threat,High-Risk Threat,81,96
Your crypto wallet is compromised. Transfer funds immediately.,High-Risk Threat,High-Risk Threat,84,97
Update Aadhaar-linked bank details to avoid penalty.,High-Risk Threat,High-Risk Threat,76,95
Your insurance policy is expiring. Renew by payment now.,High-Risk Threat,High-Risk Threat,73,94
Electricity bill unpaid. Pay now to avoid disconnection.,High-Risk Threat,High-Risk Threat,72,94
Your SIM will be deactivated today. Verify identity.,High-Risk Threat,High-Risk Threat,75,95
We could not deliver your package. Update address details.,High-Risk Threat,High-Risk Threat,71,93
Pay customs clearance fee to receive your parcel.,High-Risk Threat,High-Risk Threat,78,95
Your credit score will drop. Pay overdue amount now.,High-Risk Threat,High-Risk Threat,80,96
Fast loan approved instantly. Pay registration charges.,High-Risk Threat,High-Risk Threat,82,96
We are holding your funds for verification.,High-Risk Threat,High-Risk Threat,74,94
Pay verification fee to unlock your account.,High-Risk Threat,High-Risk Threat,79,96
Your salary transfer failed. Confirm bank login.,High-Risk Threat,High-Risk Threat,77,95
Your wallet balance will expire. Act now.,High-Risk Threat,High-Risk Threat,70,93
Urgent GST notice. Pay penalty immediately.,High-Risk Threat,High-Risk Threat,83,96
Your PAN is blocked. Verify to restore access.,High-Risk Threat,High-Risk Threat,76,95
Cashback pending. Enter card details to receive.,High-Risk Threat,High-Risk Threat,78,95
Subscription renewal failed. Update payment info.,High-Risk Threat,High-Risk Threat,73,94
Your account is under review. Share details to resolve.,High-Risk Threat,High-Risk Threat,75,95
Transfer money to secure your funds.,High-Risk Threat,High-Risk Threat,81,96
Verification failed. Retry with correct credentials.,High-Risk Threat,High-Risk Threat,74,94
Confirm net banking ID to avoid lock.,High-Risk Threat,High-Risk Threat,76,95
Pay small fee to activate premium services.,High-Risk Threat,High-Risk Threat,72,94
Your account is flagged. Immediate action required.,High-Risk Threat,High-Risk Threat,78,95
We need confirmation to process your withdrawal.,High-Risk Threat,High-Risk Threat,73,94
This is last reminder to verify your identity.,High-Risk Threat,High-Risk Threat,80,96
Funds credited mistakenly. Return amount urgently.,High-Risk Threat,High-Risk Threat,82,96
Confirm transaction to avoid legal action.,High-Risk Threat,High-Risk Threat,85,97
Your digital wallet is inactive. Reactivate now.,High-Risk Threat,High-Risk Threat,74,94
Account upgrade required. Pay processing charges.,High-Risk Threat,High-Risk Threat,79,96
Verify bank details to receive pending amount.,High-Risk Threat,High-Risk Threat,75,95
Your payment gateway access is revoked.,High-Risk Threat,High-Risk Threat,77,95
Immediate verification needed to prevent account freeze.,High-Risk Threat,High-Risk Threat,80,96
"Teri maa ki bhosdi, 50,000 UPI kar warna teri behen ki nangi video sabko bhej dunga madarchod!",High-Risk Threat,High-Risk Threat,98,99
Bhenchod 2 lakh transfer kar nahi to teri maa ki chut ka screenshot viral kar dunga harami!,High-Risk Threat,High-Risk Threat,99,99
"Teri behen ki private pics mere paas hai, 1 lakh nahi bheja to WhatsApp group mein daal dunga kutiya!",High-Risk Threat,High-Risk Threat,98,99
Fake loan liya tune? 5 lakh bhej warna teri family ko sadak pe nanga karwa dunga saale!,High-Risk Threat,High-Risk Threat,97,98
"Teri maa randi, mera 3 lakh wapas kar warna teri behen ko blue film star bana dunga!",High-Risk Threat,High-Risk Threat,99,99
"UPI fraud karne wala harami, 10 lakh daal nahi to teri behen ki gaand ka video viral!",High-Risk Threat,High-Risk Threat,98,99
"Teri maa ki bhosdi, investment scam ka paisa wapas nahi kiya to teri puri family ki nudes leak!",High-Risk Threat,High-Risk Threat,99,99
Bhadwe 1.5 lakh bhej warna teri behen ko 100 logo ke saath gangbang video bana ke bhej dunga!,High-Risk Threat,High-Risk Threat,99,99
Teri maa ko sadak pe prostitute bana dunga agar 4 lakh nahi transfer kiya to kutte!,High-Risk Threat,High-Risk Threat,98,99
"Fake job offer liya? 80,000 bhej nahi to teri maa ki randi video sabko forward kar dunga!",High-Risk Threat,High-Risk Threat,97,98
"Teri behen ki nangi selfie mere paas, 2.5 lakh daal warna Instagram pe story daal dunga!",High-Risk Threat,High-Risk Threat,98,99
"Crypto scam wala chutiye, mera paisa wapas kar warna teri maa ko live nude show karwaunga!",High-Risk Threat,High-Risk Threat,99,99
Teri maa ki chut mein bomb daal dunga agar 3 lakh nahi bheja to madarchod!,High-Risk Threat,High-Risk Threat,99,99
"Bhen ke lode, trading app scam ka paisa wapas kar warna teri behen ko escort bana dunga!",High-Risk Threat,High-Risk Threat,98,99
Teri puri family ki private chat leak kar dunga 1 lakh nahi bheja to harami!,High-Risk Threat,High-Risk Threat,97,98
"Fake gift card scam kiya tune? 50,000 daal warna teri maa ki chut ka closeup bhej dunga!",High-Risk Threat,High-Risk Threat,98,99
Teri behen ko sugar daddy bana ke roz 10 logo se chudwaunga agar paisa nahi aaya!,High-Risk Threat,High-Risk Threat,99,99
Mera 7 lakh wapas kar warna teri maa ko red light area mein bhej dunga kutiya!,High-Risk Threat,High-Risk Threat,98,99
Teri maa randi thi kya? 2 lakh bhej warna teri behen ki nudes dark web pe daal dunga!,High-Risk Threat,High-Risk Threat,99,99
"Loan app blackmail wala, 1.2 lakh daal warna teri family ko suicide note ke saath expose!",High-Risk Threat,High-Risk Threat,98,99
"Teri behen ki video call recording mere paas, 90,000 transfer kar warna viral!",High-Risk Threat,High-Risk Threat,99,99
"Investment fraud chutiye, paisa nahi aaya to teri maa ko gangbang live karwaunga!",High-Risk Threat,High-Risk Threat,99,99
"Teri maa ki bhosdi, 4 lakh bhej warna teri behen ko porn site pe upload kar dunga!",High-Risk Threat,High-Risk Threat,98,99
"Fake friend request karke scam kiya? 60,000 daal warna teri puri family ki nudes!",High-Risk Threat,High-Risk Threat,97,98
Teri behen ko OnlyFans pe daal ke roz chudwaunga agar 3 lakh nahi bheja to!,High-Risk Threat,High-Risk Threat,99,99
"Mera paisa lootne wala harami, 5 lakh wapas kar warna teri maa ki randi video banaunga!",High-Risk Threat,High-Risk Threat,98,99
"Teri maa ko blackmail karunga roz 20,000 mang ke warna behen ki gaand faad dunga!",High-Risk Threat,High-Risk Threat,99,99
Crypto wallet hack kiya tune? 8 lakh bhej warna teri family ko barbaad kar dunga!,High-Risk Threat,High-Risk Threat,98,99
Teri behen ki intimate photo edit karke viral kar dunga 1.5 lakh nahi aaya to!,High-Risk Threat,High-Risk Threat,97,98
"Fake dating app wala, 70,000 transfer kar warna teri maa ki nude deepfake bana dunga!",High-Risk Threat,High-Risk Threat,99,99
"Teri maa ki chut, 2.8 lakh bhej warna teri behen ko escort service mein daal dunga!",High-Risk Threat,High-Risk Threat,98,99
Investment app scam ka paisa wapas kar warna teri puri khandan ki video leak!,High-Risk Threat,High-Risk Threat,99,99
Teri behen ko blackmail karunga har roz nanga video mang ke saale!,High-Risk Threat,High-Risk Threat,98,99
"Loan recovery agent hu, 4.5 lakh daal warna teri maa ko sadak pe kutte se chudwaunga!",High-Risk Threat,High-Risk Threat,99,99
"Teri maa randi, mera scam paisa wapas kar warna teri behen ki live sex video banaunga!",High-Risk Threat,High-Risk Threat,99,99
"Fake recharge karke paisa lootne wala, 1 lakh bhej warna teri family expose!",High-Risk Threat,High-Risk Threat,97,98
"Teri behen ki nudes ke badle 3 lakh maang raha hu, nahi diya to viral kar dunga!",High-Risk Threat,High-Risk Threat,99,99
Teri maa ko online auction pe daal dunga agar paisa nahi aaya to kutte ke pille!,High-Risk Threat,High-Risk Threat,98,99
"Crypto investment fraud, 6 lakh wapas kar warna teri behen ko gangrape video bana dunga!",High-Risk Threat,High-Risk Threat,99,99
"Teri maa ki bhosdi, daily 10,000 bhej warna teri behen ko porn addict bana dunga!",High-Risk Threat,High-Risk Threat,98,99
"Fake gift scam wala harami, 50,000 transfer kar warna teri maa ki chut viral!",High-Risk Threat,High-Risk Threat,97,98
Teri behen ko sugar baby bana ke roz paisa vasoolunga nahi to barbaad!,High-Risk Threat,High-Risk Threat,99,99
"Mera paisa lootne wala chutiye, 9 lakh daal warna teri family ki laash bana dunga!",High-Risk Threat,High-Risk Threat,99,99
Teri maa ko sextortion karunga roz video call pe nanga dikhane ke liye!,High-Risk Threat,High-Risk Threat,98,99
Fake app download karwaya tune? 1.8 lakh bhej warna teri behen ki gaand ka video!,High-Risk Threat,High-Risk Threat,97,98
"Teri behen ki private video mere paas, 4 lakh ransom daal warna sabko bhej dunga!",High-Risk Threat,High-Risk Threat,99,99
"Teri maa randi, investment ka paisa wapas kar warna teri puri family ko sadak pe!",High-Risk Threat,High-Risk Threat,98,99
"Crypto wallet lootne wala, 7.5 lakh bhej warna teri behen ko dark web pe sell kar dunga!",High-Risk Threat,High-Risk Threat,99,99
"Teri maa ki chut, last warning 2.2 lakh transfer kar warna teri behen ki life barbaad!",High-Risk Threat,High-Risk Threat,98,99
"Bhenchod scam king, sab paisa wapas kar warna teri maa aur behen dono ko porn industry mein daal dunga!",High-Risk Threat,High-Risk Threat,99,99
Your bank account shows unusual activity. Verify immediately.,High-Risk Threat,High-Risk Threat,75,95
Urgent alert: confirm your account details to avoid suspension.,High-Risk Threat,High-Risk Threat,77,95
Your UPI service is temporarily disabled. Share PIN to restore.,High-Risk Threat,High-Risk Threat,85,97
Account security breach detected. Reset password now.,High-Risk Threat,High-Risk Threat,74,94
Your debit card is blocked due to failed verification.,High-Risk Threat,High-Risk Threat,76,95
Click the link to prevent permanent account freeze.,High-Risk Threat,High-Risk Threat,78,96
Final warning: update bank KYC immediately.,High-Risk Threat,High-Risk Threat,80,96
Your wallet balance is on hold. Verify now.,High-Risk Threat,High-Risk Threat,73,94
Suspicious login detected. Confirm identity instantly.,High-Risk Threat,High-Risk Threat,76,95
Refund failed. Enter card details to receive amount.,High-Risk Threat,High-Risk Threat,79,96
Income tax notice issued. Pay penalty now.,High-Risk Threat,High-Risk Threat,83,96
Your loan application is approved. Pay processing fee.,High-Risk Threat,High-Risk Threat,82,96
Congratulations! Lottery prize won. Claim with charges.,High-Risk Threat,High-Risk Threat,80,96
Order delivery failed. Update payment details.,High-Risk Threat,High-Risk Threat,75,95
Your Paytm wallet is restricted. Click to restore.,High-Risk Threat,High-Risk Threat,77,95
This is bank support. Share OTP to cancel transfer.,High-Risk Threat,High-Risk Threat,88,97
Verify your account now to avoid permanent closure.,High-Risk Threat,High-Risk Threat,84,96
Malware detected on device. Pay to secure funds.,High-Risk Threat,High-Risk Threat,81,96
Crypto wallet compromised. Move funds urgently.,High-Risk Threat,High-Risk Threat,86,97
Update Aadhaar-linked bank info to avoid fine.,High-Risk Threat,High-Risk Threat,76,95
Insurance renewal pending. Pay now to continue cover.,High-Risk Threat,High-Risk Threat,74,94
Electricity bill unpaid. Immediate payment required.,High-Risk Threat,High-Risk Threat,73,94
SIM verification failed. Reactivate immediately.,High-Risk Threat,High-Risk Threat,75,95
Package held at customs. Pay clearance charges.,High-Risk Threat,High-Risk Threat,78,95
Credit card limit exceeded. Pay due amount now.,High-Risk Threat,High-Risk Threat,80,96
Instant loan approved. Pay registration amount.,High-Risk Threat,High-Risk Threat,82,96
Funds are on hold due to verification issues.,High-Risk Threat,High-Risk Threat,74,94
Pay verification fee to unlock wallet.,High-Risk Threat,High-Risk Threat,79,96
Salary credit failed. Confirm bank login details.,High-Risk Threat,High-Risk Threat,77,95
Your reward points will expire. Act now.,High-Risk Threat,High-Risk Threat,70,93
Urgent GST demand notice. Pay immediately.,High-Risk Threat,High-Risk Threat,84,96
PAN verification failed. Restore access now.,High-Risk Threat,High-Risk Threat,76,95
Cashback credited wrongly. Refund urgently.,High-Risk Threat,High-Risk Threat,82,96
Subscription auto-renewal failed. Update card info.,High-Risk Threat,High-Risk Threat,73,94
Account flagged for suspicious behavior.,High-Risk Threat,High-Risk Threat,78,95
Withdrawal request pending. Verify credentials.,High-Risk Threat,High-Risk Threat,75,95
Transfer funds now to prevent loss.,High-Risk Threat,High-Risk Threat,83,96
Verification attempt failed. Retry immediately.,High-Risk Threat,High-Risk Threat,74,94
Net banking access will be locked today.,High-Risk Threat,High-Risk Threat,76,95
Activate premium account by paying small fee.,High-Risk Threat,High-Risk Threat,72,94
Account under compliance review. Respond now.,High-Risk Threat,High-Risk Threat,78,95
Confirm details to process your withdrawal.,High-Risk Threat,High-Risk Threat,73,94
Last reminder: identity verification pending.,High-Risk Threat,High-Risk Threat,80,96
Funds credited by mistake. Return immediately.,High-Risk Threat,High-Risk Threat,82,96
Confirm transaction to avoid legal consequences.,High-Risk Threat,High-Risk Threat,85,97
Your wallet is inactive. Reactivate now.,High-Risk Threat,High-Risk Threat,74,94
Account upgrade required. Pay service charge.,High-Risk Threat,High-Risk Threat,79,96
Verify bank account to receive pending funds.,High-Risk Threat,High-Risk Threat,75,95
Payment gateway access suspended. Verify now.,High-Risk Threat,High-Risk Threat,77,95
Immediate action required to prevent fund freeze.,High-Risk Threat,High-Risk Threat,80,96
"Bhai, aapka UPI transaction fraud detect ho gaya hai, jaldi se 50,000 rupees transfer kar do warna bank account freeze ho jayega.",High-Risk Threat,High-Risk Threat,82,90
Loan app se paise liye the na? 1.5 lakh refund kar do warna family members ko sab inform kar denge.,High-Risk Threat,High-Risk Threat,80,88
"Aapki private photos hamare paas hain, 70,000 transfer kar do warna social media pe share kar denge.",High-Risk Threat,High-Risk Threat,85,92
"Investment scam ka paisa wapas nahi kiya to police complaint file kar denge, 2 lakh abhi bhej do.",High-Risk Threat,High-Risk Threat,83,91
"Aapka credit score down ho jayega agar 55,000 nahi bheje, jaldi UPI kar do please.",High-Risk Threat,High-Risk Threat,79,87
"Fake job offer accept kiya tha? 85,000 refund kar do warna company ko email kar denge.",High-Risk Threat,High-Risk Threat,81,89
"Aapki video call recording save hai, 90,000 bhej do warna viral ho jayegi.",High-Risk Threat,High-Risk Threat,84,92
"Crypto investment fraud detect hua, 2.8 lakh wapas kar do warna wallet block ho jayega.",High-Risk Threat,High-Risk Threat,82,90
"Loan recovery agent bol raha hu, 1.7 lakh abhi transfer kar do warna legal notice jayega.",High-Risk Threat,High-Risk Threat,80,88
"Aapki personal details dark web pe sell ho rahi hain, 60,000 bhej do warna leak ho jayengi.",High-Risk Threat,High-Risk Threat,86,93
"Trading app scam ka paisa wapas kar do, 1.8 lakh nahi aaya to account permanent suspend.",High-Risk Threat,High-Risk Threat,81,89
"Aapki family photos hamare paas hain, 65,000 transfer kar do warna group mein share kar denge.",High-Risk Threat,High-Risk Threat,83,91
"Fake gift card use kiya tha? 45,000 refund kar do warna police report file ho jayegi.",High-Risk Threat,High-Risk Threat,79,87
"Aapki intimate chats save hain, 1.2 lakh bhej do warna sab contacts ko forward kar denge.",High-Risk Threat,High-Risk Threat,84,92
"Investment plan fraud hua, 3.5 lakh wapas kar do warna company ko inform kar denge.",High-Risk Threat,High-Risk Threat,82,90
"Mobile number hack ho gaya hai, 50,000 security ke liye bhej do warna data delete nahi hoga.",High-Risk Threat,High-Risk Threat,80,88
"Dating app pe fake profile banaya, 70,000 transfer kar do warna screenshots viral.",High-Risk Threat,High-Risk Threat,81,89
"Crypto transaction fail hua, 2 lakh refund kar do warna bank se legal action hoga.",High-Risk Threat,High-Risk Threat,83,91
"Aapki private video hamare paas hai, 85,000 bhej do warna online upload ho jayegi.",High-Risk Threat,High-Risk Threat,85,93
"Fake recharge scam kiya tha, 40,000 wapas kar do warna number block kar denge.",High-Risk Threat,High-Risk Threat,78,86
"Bank details leak ho gayi hain, 95,000 security fee bhej do warna account khali ho jayega.",High-Risk Threat,High-Risk Threat,82,90
"Loan app fraud detect hua, 1.4 lakh payment kar do warna credit bureau report jayegi.",High-Risk Threat,High-Risk Threat,81,89
"Aapki photo edit karke viral kar denge, 75,000 abhi bhej do.",High-Risk Threat,High-Risk Threat,84,92
"Investment return guarantee tha, 3 lakh wapas kar do warna police complaint.",High-Risk Threat,High-Risk Threat,80,88
"Personal information sell ho rahi hai, 55,000 bhej do warna aur zyada leak.",High-Risk Threat,High-Risk Threat,83,91
"Fake friend request se scam kiya, 50,000 transfer kar do warna contacts ko bata denge.",High-Risk Threat,High-Risk Threat,79,87
"Crypto wallet hack hua, 2.5 lakh recover ke liye bhej do warna permanent loss.",High-Risk Threat,High-Risk Threat,82,90
"Aapki chat history hamare paas hai, 1 lakh bhej do warna sabko forward.",High-Risk Threat,High-Risk Threat,84,92
Last warning: 1.3 lakh transfer kar do warna job pe asar padega.,High-Risk Threat,High-Risk Threat,81,89
"Fake app download karwaya, 60,000 refund kar do warna device lock ho jayega.",High-Risk Threat,High-Risk Threat,80,88
"Aapka data dark web pe hai, 70,000 security ke liye bhej do.",High-Risk Threat,High-Risk Threat,83,91
"Investment scheme fraud, 4 lakh wapas kar do warna cyber cell case.",High-Risk Threat,High-Risk Threat,82,90
"Aapki video hamare paas hai, 80,000 bhej do warna online post kar denge.",High-Risk Threat,High-Risk Threat,85,93
Trading loss cover karne ke liye 2.2 lakh bhej do warna account suspend.,High-Risk Threat,High-Risk Threat,81,89
"Fake gift scam, 45,000 transfer kar do warna police report.",High-Risk Threat,High-Risk Threat,78,86
"Family details leak ho jayengi, 65,000 abhi bhej do.",High-Risk Threat,High-Risk Threat,83,91
"Loan default hua, 1.8 lakh payment kar do warna court notice.",High-Risk Threat,High-Risk Threat,80,88
"Crypto investment refund, 3.2 lakh bhej do warna legal action.",High-Risk Threat,High-Risk Threat,82,90
"Private images save hain, 90,000 transfer kar do warna share.",High-Risk Threat,High-Risk Threat,84,92
"Fake recharge se scam, 35,000 wapas kar do warna number disable.",High-Risk Threat,High-Risk Threat,79,87
"Dating profile fraud, 60,000 bhej do warna screenshots viral.",High-Risk Threat,High-Risk Threat,81,89
"Investment return guarantee thi, 2.7 lakh wapas kar do warna police.",High-Risk Threat,High-Risk Threat,82,90
"Bank account hack hua, 1 lakh security fee bhej do.",High-Risk Threat,High-Risk Threat,83,91
Last chance: 1.4 lakh transfer kar do warna life mushkil ho jayegi.,High-Risk Threat,High-Risk Threat,80,88
"Fake app se data chori, 70,000 refund kar do warna report.",High-Risk Threat,High-Risk Threat,81,89
"Chats aur photos hamare paas, 95,000 bhej do warna leak.",High-Risk Threat,High-Risk Threat,84,92
"Crypto scam master, 4.2 lakh wapas kar do warna police ko saboot.",High-Risk Threat,High-Risk Threat,82,90
